timestamp,fps,sim_ms,render_ms,grid,voxels,res,gl,skip
24967.81,50.8,17.47,2.13,384,56623104,FULL,VK,1
24968.32,58.3,14.87,2.17,384,56623104,FULL,VK,1
24968.83,58.1,15.03,2.07,384,56623104,FULL,VK,1
24969.35,48.6,18.30,2.19,384,56623104,FULL,VK,1
24969.86,57.6,15.02,2.22,384,56623104,FULL,VK,1
24970.36,57.9,15.05,2.13,384,56623104,FULL,VK,1
24970.86,57.4,14.94,2.37,384,56623104,FULL,VK,1
24971.37,58.4,15.00,2.01,384,56623104,FULL,VK,1
24971.87,56.9,15.47,2.01,384,56623104,FULL,VK,1
24972.39,55.2,15.83,2.17,384,56623104,FULL,VK,1
24972.90,57.4,15.29,2.02,384,56623104,FULL,VK,1
24973.40,56.9,15.50,1.97,384,56623104,FULL,VK,1
24973.90,56.8,15.55,1.97,384,56623104,FULL,VK,1
24974.40,58.3,14.82,2.23,384,56623104,FULL,VK,1
24974.92,57.3,15.04,2.30,384,56623104,FULL,VK,1
24975.44,48.9,18.07,2.27,384,56623104,FULL,VK,1
24975.94,61.3,14.09,2.12,384,56623104,FULL,VK,1
